Title,Date,City,Location,Category,Source,Link
Landmarks of Manhattan - Food Tour in NYC | Cozymeal™,"Thu, Apr 2","New York City, NY","Location provided after booking, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/landmarks-of-manhattan-food-tour-in-nyc-cozymealtm-tickets-1985325464909
"Food Tour of Queens: ""Queens Culinary Stroll & Cultural Tour""","Thu, Apr 2","New York City, NY","Nepali Bhanchha Ghar, Queens",Food & Drink,Eventbrite,https://www.eventbrite.com/e/food-tour-of-queens-queens-culinary-stroll-cultural-tour-tickets-1983015005262
Solo in the City| Foodies + New Friends: Midtown Manhattan,"Thu, Apr 2","New York City, NY","Restaurant of the Week, New York",Food & Drink,Eventbrite,https://www.eventbrite.com/e/solo-in-the-city-foodies-new-friends-midtown-manhattan-tickets-1980652748689
ARTE MUSEUM: An Immersive Media Art Exhibition,"Thu, Apr 2 · 10:00 AM","New York City, NY","Arte Museum New York, New York",Culture & Learning,Fever,https://feverup.com/m/385958
American Museum of Natural History,"Thu, Apr 2 · 10:00 AM","New York City, NY","American Museum of Natural History (AMNH), New York",Culture & Learning,Fever,https://feverup.com/m/124690
Bubble Planet: An Immersive Experience at American Dream,"Thu, Apr 2 · 11:00 AM","Jersey City, NJ","American Dream, Jersey City",Other,Fever,https://feverup.com/m/176115
Dopamine Land: A Multisensory Experience,"Thu, Apr 2 · 11:00 AM","Jersey City, NJ","Westfield Garden State Plaza, Jersey City",Other,Fever,https://feverup.com/m/198837
Frontiers of Neuro with PsyMed Ventures,"Thu, Apr 2 · 5:00 PM","New York City, NY",New York,Other,Luma · Deep Tech Week,https://lu.ma/u6bkgxab
Drunk Romeo & Juliet,"Thu, Apr 2 · 7:00 PM","New York City, NY","The Ruby Theatre NYC, New York",Outdoor & Fitness,Fever,https://feverup.com/m/381056
Outer Heaven presents: Gian-Paul and Friends,"Thu, Apr 2 · 8:00 PM","New York City, NY","Outer Heaven, New York City",Other,Resident Advisor,https://ra.co/events/2383565
Prichindel All Night Long,"Thu, Apr 2 · 9:00 PM","New York City, NY","Signal, New York City",Other,Resident Advisor,https://ra.co/events/2366906
"Women in House Music at UNVEILED with Mona Matsuoka, Amanda Simpson, Samantha Michelle, Yagirlash","Thu, Apr 2 · 9:00 PM","New York City, NY","Unveiled, New York City",Music & Entertainment,Resident Advisor,https://ra.co/events/2393769
"Kanyon, Prosperity, Mr. Long Island, Ang Z Z","Thu, Apr 2 · 9:00 PM","New York City, NY","Honey's, New York City",Other,Resident Advisor,https://ra.co/events/2395210
Funding & Banking the Next Generation of Biotech Lecture Series - Session 2,"Thu, Apr 2 · 9:00 PM","Boston, MA","Goldenson Building, Boston, MA 02115",Culture & Learning,Luma · Personal,https://lu.ma/k2xv98c4
Fireside Chat & Happy Hour: C10 Labs (AI Fund & Studio) x Global AI Frontier Lab (NYU) x NYCEDC,"Thu, Apr 2 · 9:00 PM","New York City, NY","1 MetroTech Center, Brooklyn, NY 11201",Social,Luma · Deep Tech Week,https://lu.ma/lkvr6z09
x402 Developer Sessions + Meetup,"Thu, Apr 2 · 9:00 PM","New York City, NY",New York,Social,Luma · Solana Skyline NYC,https://lu.ma/x3q6zpkw
